id,response_text,Lack of Training / Knowledge,Ethics and Privacy,Implementation / Technology,Resources (Time / Infrastructure),Economic Cost,Resistance to Change / Fear,Others / Non-specific
34,Falta de formación e falta de tempo,1,0,0,1,0,0,0
35,Principalmente la falta de formación,1,0,0,0,0,0,0
36,Falta de formación,1,0,0,0,0,0,0
37,Falta de conocimientos,1,0,0,0,0,0,0
38,Falta formación ,1,0,0,0,0,0,0
39,"Falta de formación, posibilidade de usala para realizar diagnosticos sen contrastar a información.",1,0,1,0,0,0,0
40,FALTA DE FORMACIÓN,1,0,0,0,0,0,0
41,"Falta de formación, dificultade para a comprobación de veracidade e literatura da que se alimente a IA, sesgos na elección da alimentación da IA (diversidade, individualizacións, casos raros...)",1,0,1,0,0,0,0
42,"falta de formación, de motivación y motivos presupuestarios",1,0,0,0,1,1,0
43,concienciar os profesionais sobre as suas ventaxas e formación no seu uso. os profesionais non deben deixar toda a decisión nas IAs e manter o seu criterio humano,1,0,0,0,0,1,0
44,Falta formación,1,0,0,0,0,0,0
45,Falta de formación y presupuesto,1,0,0,0,1,0,0
46,"Mais formación, infraestructura e mais colaboración por todas las partes",1,0,1,1,0,0,0
47,a proteccion de datos,0,1,0,0,0,0,0
48,Falta de formacion,1,0,0,0,0,0,0
49,Falta de formación e de implementación,1,0,1,0,0,0,0
50,"Falta de formación,e dúbidas na ética",1,1,0,0,0,0,0
51,Todos os que suxerides pero sobre todo a falta de formación . Sorprendeme que sigamos por exemplo con problemas de conectividade nos CS do rural e sin poder usar os MESI a menos que usemos os nosos propios datos móviles e estemos falando de IA,1,0,0,1,0,0,0
52,"A falta de formación dos profesionais. Hai que ter en conta que os cursos do Sergas son moi limitados, con poucas prazas. Non nos forman en aspectos básicos como RCP, que é algo primordial, co cal dubido moito que nos formen en IA. O principal obstáculo é que o propio Sergas non ten interese en formarnos.",1,0,0,0,0,1,0
53,"Falta de formación a todos os niveis, así como dificil integración no día a día",1,0,1,0,0,0,0
54,"Falta de formación, aspectos éticos en la confidencialidad de los datos del paciente y la implementación",1,1,1,0,0,0,0
55,Todos. Preparacion cero,1,0,0,0,0,0,0
56,Falta de formación,1,0,0,0,0,0,0
57,"Falta de formación, y falta de seguridad en resultados, sólo he utilizado IA en preparación de clases y he detectado varios errores, y en radiografía que es lo único que he visto en relación con el trabajo no me parece que garantice 100% resultados fiables",1,0,1,0,0,0,0
58,formación e económica,1,0,0,0,1,0,0
59,"Falta de formación, dúbidas na ética, implementación",1,1,1,0,0,0,0
60,falta de formación e infraestructura,1,0,1,1,0,0,0
61,"a parte de todas las del enunciado, si esto implica una dismucion de la plantilla los profesionales se  opondran a esta tema ",0,0,0,0,0,1,0
62,todos,1,1,1,1,1,1,0
63,"formacion,etica e economia",1,1,0,0,1,0,0
64,"Falta de formación, polo menos no meu caso.",1,0,0,0,0,0,0
65,falla de formación,1,0,0,0,0,0,0
66,Aspectos ético-legais,0,1,0,0,0,0,0
67,COSTE Y LEGISLACIÓN POR DESARROLLAR,0,1,0,0,1,0,0
68,"Falla de formación do persoal e en que grao se pretende implementar a IA, como soporte a decisións clínicas ou obviando a responsabilidade profesional e asisencial por parte dos servizos de saúde.",1,0,1,0,0,0,0
69,"falta de formación, desemboloso económico",1,0,0,0,1,0,0
70,DESEMBOLSO ECONOMICO E FALTA DE FORMACION,1,0,0,0,1,0,0
71,En principio falta de formación,1,0,0,0,0,0,0
72,Falta de formación y desarrollo,1,0,1,0,0,0,0
73,Infraestructura,0,0,1,1,0,0,0
74,FAlta de formacion,1,0,0,0,0,0,0
75,En primer lugar el miedo al uso de tecnologías en profesionales muy veteranos y al miedo/desconocimiento sobre los aspectos éticos. Por otro lado las inseguridades que algunos profesionales tienen  de ser prescindibles con la utilización de IA,0,1,0,0,0,1,0
76,falta de información e infraestructura,1,0,0,1,0,0,0
77,Falta de formación,1,0,0,0,0,0,0
78,falta de formación,1,0,0,0,0,0,0
79,Desembolso económico e implementación,0,0,1,0,1,0,0
80,"implementacion de infraestructuras , falta de formación",1,0,1,1,0,0,0
81,"Falta de formación, dúbidas na ética, implementación, infraestructura, desembolso económico",1,1,1,1,1,0,0
82,falta de formación ,1,0,0,0,0,0,0
83,FALTA DE FORMACIÓN,1,0,0,0,0,0,0
84,Falta de formación e falta de compromiso,1,0,0,0,0,1,0
85,Falta de formación e dúbidas na ética,1,1,0,0,0,0,0
86,POLA MIÑA PARTE A FALTA DE FORMACION E DUBIDAS,1,0,0,0,0,0,0
87,"Dudas na ética, individualización a situación social/vital do paciente, historias clínicas con toda a información relevante para que de maneira automática con IA se generase a solución a un problema social ou de saúde.",0,1,0,0,0,0,0
88,Todas as citadas anteriormente ,1,1,1,1,1,1,0
89,falta de formación,1,0,0,0,0,0,0
90,Falta de informació. Falta de formación. implementación ,1,0,1,0,0,0,0
91,"falta formación ,ética ,infraestructura",1,1,0,1,0,0,0
92,desembolso económico y otros,0,0,0,0,1,0,1
93,Principalmente falta de formación,1,0,0,0,0,0,0
94,Falta de formación y consecuencias en toma de decisiones.,1,0,0,0,0,0,0
95,"FALTA D EINFORMACIÓN, DIFICULTAD EN LA INFRAESTRUCTURA E IMPLEMENTACIÓN",1,0,1,1,0,0,0
96,tipo de población,0,0,0,0,0,0,1
97,Falta de formación. Dúbidas na ética,1,1,0,0,0,0,0
98,"Falta formación, dilema ético, confidencialidade",1,1,0,0,0,0,0
99,"Falta de formación, dúbidas en confiar nas novas tecnoloxías, custe económico...",1,0,0,0,1,1,0
100,dúbidas e falta de formación,1,0,0,0,0,0,0
101,"Falta formación , economia",1,0,0,0,1,0,0
